full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Igor Akinfeev,33,World Cup,2018,Goalkeeper,Russia,450,270,180,Russia,5,3,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,67,85,43,11
Sergei Ignashevich,40,World Cup,2018,Defender,Russia,450,270,180,Russia,5,3,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,0,0,0,0,0,0,0,0,1,90,90,0,0,0,128,125,44,13
Mairio Figueira Fernandes,29,World Cup,2018,Defender,Russia,412,270,142,Russia,5,3,1,1,1,0,1,1,0,0,0,1,1,0,3,2,1,0,0,0.44,0.22,0.22,0.33,0,412,0.66,137,82,0,412,0,44,31,17,4
Ilya Kutepov,26,World Cup,2018,Defender,Russia,450,270,180,Russia,5,3,2,0,0,0,1,1,0,0,0,1,1,0,5,2,3,1,0,0.2,0.2,0,0,0,0,1,90,90,450,450,0.2,116,35,45,18
Yuri Zhirkov,36,World Cup,2018,Midfielder,Russia,222,176,46,Russia,3,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0.81,111,74,0,0,0,-1,-1,-1,17
Alexandr Samedov,35,World Cup,2018,Midfielder,Russia,359,208,151,Russia,5,3,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,0,0,0,0,0,0,0,0,1.25,72,72,0,0,0,115,114,-1,16
Alan Dzagoev,29,World Cup,2018,Midfielder,Russia,12,12,0,Russia,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,7.5,7.5,0,0,0,0,0,0,6,0,12,0,-1,-1,-1,15
Yury Gazinskiy,30,World Cup,2018,Midfielder,Russia,237,191,46,Russia,4,2,1,1,1,0,0,0,0,0,0,1,1,0,3,1,2,2,0,0.38,0,0.38,0.47,0,237,1.14,79,59,119,0,0.76,-1,-1,-1,5
Roman Zobnin,26,World Cup,2018,Midfielder,Russia,450,270,180,Russia,5,3,2,0,0,0,1,1,0,0,0,1,1,0,5,2,3,1,0,0.2,0.2,0,0,0,0,1,90,90,450,450,0.2,114,34,-1,14
Aleksandr Golovin,23,World Cup,2018,Midfielder,Russia,372,282,90,Russia,4,3,1,1,1,0,2,2,0,0,0,1,1,0,4,3,1,1,0,0.73,0.48,0.24,0.32,0,372,0.97,93,93,372,186,0.24,41,4,-1,3
Fyodor Smolov,30,World Cup,2018,Forward,Russia,159,104,55,Russia,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,159,0,0.57,-1,-1,-1,12
Denis Cheryshev,29,World Cup,2018,Midfielder,Russia,274,207,67,Russia,5,2,1,4,4,0,0,0,0,0,0,1,1,0,4,2,2,0,0,1.31,0,1.31,1.74,0,69,1.31,69,55,0,0,0,1,113,-1,1
Daler Kuzyaev,27,World Cup,2018,Midfielder,Russia,273,132,141,Russia,5,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0.66,137,55,0,0,0,113,112,-1,10
Artem Dzyuba,31,World Cup,2018,Forward,Russia,333,178,155,Russia,5,2,2,3,2,1,2,2,0,1,0,1,1,0,5,2,3,0,0,1.35,0.54,0.81,1.01,0.58,111,1.35,67,67,0,167,0,5,2,-1,2
Andrey Semenov,30,World Cup,2018,Defender,Russia,0,0,0,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Andrey Lunev,28,World Cup,2018,Goalkeeper,Russia,0,0,0,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fedor Kudryashov,32,World Cup,2018,Defender,Russia,274,94,180,Russia,4,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1.31,69,69,0,0,0,112,111,57,9
Vladimir Granat,32,World Cup,2018,Defender,Russia,44,0,44,Russia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,8
